AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
MRK290,758,UGC05470,x,"('233.96792', '57.9025')","(152.11708, 12.30639)",0.0,0.0,10.771825341804764,0.3535533905932738,317.9462592700874,x,534.3,223.70000000000005,0.242,x,0.5,0.4,40.5,80.0,58.2,LeoI,dE.3...,40.7,80.0,E;dSph,E;dSph,0.000951,0.0296,SP,?,False,True,758,"698, 810",134pm10,3.00E13 pm 2.56E12,39.4pm 2.1,done,center is 754 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRK290,3105,NGC5987,x,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.09227992021510147,0.8712776940650395,322.0594317999893,570.6668660435788,486.0114480567563,x,3170.0,-65.0,48.9,x,68.8,29.6,64.5,60.0,48.1,NGC5987,.S..3..,71.6,165.0,Sb,Sb,0.01004,0.0296,SP,?,False,False,3105,"2966, 3170",511pm5,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRK290,3207,NGC5987,x,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.09910962579016591,0.9357616046570157,322.0594317999893,570.6668660435788,486.0114480567563,x,3170.0,37.0,48.9,x,68.8,29.6,64.5,60.0,48.1,NGC5987,.S..3..,71.6,165.0,Sb,Sb,0.01004,0.0296,SP,?,False,False,3207,"3166, 3308",319pm4,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRK290,4654.0,x,0,"('233.96792', '57.9025')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0296,SP,False,False,False,4654,"4630, 4694",45pm14,933E12 pm 3.07E12,22.6pm 4.1,done,"only in HRS data, very faint, center is 4662 : NO GALAXIES"
SBS1537+577,754,UGC05470,x,"('234.54167', '57.60361')","(152.11708, 12.30639)",0.0,0.0,10.771825341804764,0.3535533905932738,319.240171788777,x,534.3,219.70000000000005,0.242,x,0.5,0.4,40.5,80.0,57.6,LeoI,dE.3...,40.7,80.0,E;dSph,E;dSph,0.000951,0.0734,SP,?,True,True,754,"687, 809",146pm36,3.28E13 pm 9.49E12,44.9pm2.8,Lya,center is 748ONLY 1 GALAXY
SBS1537+577,3279,NGC5987,x,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.10169102734394302,0.788751572818183,322.0594317999893,570.6668660435788,454.1827315456914,x,3170.0,109.0,48.9,x,68.8,29.6,64.5,60.0,86.7,NGC5987,.S..3..,71.6,165.0,Sb,Sb,0.01004,0.0734,SP,?,False,False,3279,"3174, 3380",358pm30,9.55E13 pm 1.07E13,64.4pm 2.7,Lya,center is 3277 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SBS1537+577,3549,NGC5987,x,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.0037732589554359533,0.02926673093471968,322.0594317999893,570.6668660435788,454.1827315456914,x,3170.0,379.0,48.9,x,68.8,29.6,64.5,60.0,86.7,NGC5987,.S..3..,71.6,165.0,Sb,Sb,0.01004,0.0734,SP,?,False,False,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SBS1537+577,4077,SDSSJ153802.75+573018.3,x,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.007580498764322806,1.2461255222688483e-05,86.86757243034273,33.0564214639153,90.506007287528,x,3687.3,389.6999999999998,51.93368351,x,10.3,1.9,79.6,24.0,33.3,0,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,?,False,False,4077,"4032, 4148",72pm25,1.47E13 pm 5.48E12,45.0pm 3.8,Lya,center is 4090 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SBS1537+577,8466.0,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,False,False,False,8466,"8413, 8501",48pm21,9.79E12 pm 4.38E12,31.1pm 7.9,Lya,center is 8457 : NO GALAXIES
SBS1537+577,9008.0,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,False,False,False,9008,"8983, 9033",54pm14,1.23E13 pm 3.69E12,,no,"Not marked, but I see Lya here : NO GALAXIES"
SBS1537+577,9190.0,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,False,False,False,9190,"9160, 9224",67pm16,1.47E13 pm 4.07E12,22.4pm 1.9,Lya,center is 9192 : NO GALAXIES
SBS1537+577,9824.0,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,False,False,False,9824,"9795, 9845",40pm15,8.29E12 pm 3.39E12,18.6pm 2.9,Lya,center is 9820 : NO GALAXIES
3C66A,4303.0,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,False,False,False,4303,"4282, 4324",24pm4,4.93E12 pm 9.03E11,15.6pm 2.1,d:X,"weak, labeled d:X?, center is 4303 : NO GALAXIES"
3C66A,5965,UGC01832,x,"('35.665', '43.03556')","(35.62966, 43.0653)",0.7219989125134734,0.717523103331808,191.95503981081367,185.27850657860992,55.88383776114292,x,5771.7,193.30000000000018,81.29213857,x,32.5,13.6,65.2,155.0,66.0,UGC1832,.S..1..,64.1,163.0,Sa,Sa,0.019724,0.444,SP,?,True,True,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p"
3C66A,6076,UGC01841,x,"('35.665', '43.03556')","(35.79755, 42.99205)",0.7778073140536685,0.9390307740074492,280.1031918437632,421.3126250185247,162.74516939531065,x,6231.8,-155.80000000000018,87.77125098,x,56.2,76.6,42.8,x,x,UGC1841,.E.....,0.0,-99,E              LERG,E              LERG,0.021258,0.444,SP,?,True,False,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,8180.0,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,False,False,False,8180,"8138, 8258",118pm6,2.76E13 pm 1.53E12,30.3pm 2.9,d:Lya,"center is 8198, no galaxies within 1000 kpc : NO GALAXIES"
MRC2251-178,2275,MCG-03-58-014,x,"('343.52458', '-17.58194')","(344.36012, -17.88558)",4.082108677832484e-20,1.0591919161877804e-264,63.897713172478895,16.95570700383797,417.3445625118579,x,1993.2,281.79999999999995,28.07265578,x,6.6,3.7,55.9,105.0,35.9,0,x,x,x,Sa,Sa,0.007575,0.0661,SP,?,True,True,2275,"2205, 2345",88pm6,1.81E13 pm 1.37E12,44.6pm 2.6,"Lya, d:Lya","Lya labeled at 2258, d:Lya at 2283 _ I measure 2275ONLY 1 GALAXY"
MRC2251-178,3063,HIPASSJ2254-18,x,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.0008950139976529037,3.9132146727260404e-10,121.74843978037151,68.8595091472485,319.5117247606551,x,2990.5,72.5,42.12023615,x,16.8,10.1,53.1,40.0,24.4,ESO603-G27,.IBS9..,52.9,40.0,IB(s)m,IB(s)m,0.010898,0.0661,SP,?,False,False,3063,"3000, 3126",66pm5,1.31E13 pm 1.01E12,45.4pm 4.0,"Lya, d:Lya","Lya labeled at 3042, d:Lya at 3055 _ I measure 3063 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178,3222,HIPASSJ2254-18,x,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.00026731810613682275,1.1687785196244837e-10,121.74843978037151,68.8595091472485,319.5117247606551,x,2990.5,231.5,42.12023615,x,16.8,10.1,53.1,40.0,24.4,ESO603-G27,.IBS9..,52.9,40.0,IB(s)m,IB(s)m,0.010898,0.0661,SP,?,False,False,3222,"3124, 3320",326pm5,9.14E13 pm 1.73E12,51.4pm 2.0,"Lya, d:Lya","Lya labeled at 3203, d:Lya at 3218 _ I measure 3222 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178,4360.0,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,False,False,False,4360,"4325, 4395",31pm4,6.13E12 pm 7.83E11,27.5pm 2.2,Lya,"Lya labeled at 4323, d:INSTR labeled at 4362.5 _ I measure 4360 : NO GALAXIES"
MRC2251-178,4705.0,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,False,False,False,4705,"4670, 4740",38pm4,7.57E12 pm 9.48E11,25.6pm 2.1,d:Lya,d:Lya labeled at 4710 : NO GALAXIES
MRC2251-178,9031,MCG-03-58-009,x,"('343.52458', '-17.58194')","(343.42021, -17.47889)",0.053575041500818876,0.21117656831400966,319.1465428136347,559.5058882621345,320.0509932059814,x,8753.8,277.2000000000007,128.0,x,67.9,35.3,58.7,175.0,49.0,ESO603-G25,.S?....,48.6,27.0,Sc,Sc,0.030121,0.0661,SP,?,True,True,9031,"8981, 9081",31pm9,6.03E12 pm 1.83E12,33.4pm 2.2,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040 _ I measure 9031ONLY 1 GALAXY"
MRC2251-178,9032,MCG-03-58-009,x,"('343.52458', '-17.58194')","(343.42021, -17.47889)",0.05283629268203026,0.2082646444773212,319.1465428136347,559.5058882621345,320.0509932059814,x,8753.8,278.2000000000007,128.0,x,67.9,35.3,58.7,175.0,49.0,ESO603-G25,.S?....,48.6,27.0,Sc,Sc,0.030121,0.0661,SP,?,True,True,9032,"8979, 9085",48pm4,9.37E12 pm 7.32E11,36.7pm 2.0,"d:Lya, Lya","d:Lya labeled at 9040, Lya at 9051 - I measure 9032; pONLY 1 GALAXY"
MRC2251-178,9733.0,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,False,False,False,9733,"9666, 9800",156pm10,3.66E13 pm 2.60E12,37.0pm 2.4,"Lya, d:Lya","Lya labeled at 9733, d:Lya at 9745 : NO GALAXIES"
SBS1503+570,706,NGC5907,x,"('226.23150', '56.82230')","(228.97404, 56.32877)",0.05947113991028792,0.4970606316887438,294.72108578615985,470.57956287964737,452.0909183533267,x,843.0,-137.0,16.3,x,60.5,6.6,83.7,x,83.2,NGC5907,.SAS5*/,83.7,155.0,SA(s)c: sp     HII:,SA(s)c: sp     HII:,0.002225,0.3589,SP,?,False,False,706,"656, 756",265pm20,8.91E13 pm 1.26E13,34.3pm 2.1,Lya,"Lya marked 705, I measure 706 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SBS1503+570,8915.0,x,0,"('226.2315', '56.8223')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.3589,SP,False,False,False,8915,"8790, 9040",582pm17,2.24E14 pm 1.34E13,70.3pm 2.7,Lya,"Lya marked 8920, I measure 8915; two galaxies with 500 < v < 800 km/s = SDSSJ150606.34+563934.6, SDSSJ150659.06+564203.2 : NO GALAXIES"
SDSSJ080838.80+051440.0,1434.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,1434,"1410, 1488",103pm25,2.37E13 pm 6.83E12,27.5pm 3.5,done,center is 1449 : NO GALAXIES
SDSSJ080838.80+051440.0,2460.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,2460,"2400, 2514",133pm23,3.03E13 pm 6.05E12,40.8pm 2.2,done,center is 2457 : NO GALAXIES
SDSSJ080838.80+051440.0,2582.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,2582,"2520, 2660",294pm21,9.38E13 pm 1.08E13,39.8pm 3.2,done,center is 2582 : NO GALAXIES
SDSSJ080838.80+051440.0,2818.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,2818,"2783, 2853",40pm19,8.19E12 pm 4.07E12,23.7pm 6.4,done,"Labeled at 2817, middle is 2818 : NO GALAXIES"
SDSSJ080838.80+051440.0,4158.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,4158,"4080, 4236",189pm23,4.30E13 pm 6.24E12,56.5pm 2.8,no,"Not labeled, looks like Lya to me : NO GALAXIES"
SDSSJ080838.80+051440.0,4337.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,4337,"4272, 4386",187pm20,4.69E13 pm 6.39E12,39.2pm 1.6,done,center is 4329 : NO GALAXIES
SDSSJ080838.80+051440.0,4834.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,4834,"4769, 4895",158pm22,3.73E13 pm 6.01E12,41.7pm 3.9,done,center is 4832 : NO GALAXIES
SDSSJ080838.80+051440.0,8726,UGC04239,x,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.07883493817999812,0.4366105664009421,278.7260738002193,416.82263854066275,378.3226481236468,x,8893.1,-167.10000000000036,125.2551175,x,55.8,40.2,43.9,115.0,12.4,0,x,x,x,S,S,0.02923,0.361,RT,?,False,False,8726,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080838.80+051440.0,8913,UGC04239,x,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.15688550574240934,0.8688770626786737,278.7260738002193,416.82263854066275,378.3226481236468,x,8893.1,19.899999999999636,125.2551175,x,55.8,40.2,43.9,115.0,12.4,0,x,x,x,S,S,0.02923,0.361,RT,?,False,False,8913,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080838.80+051440.0,9746,2MASXJ08083956+0517256,x,"('122.16167', '5.24444')","(122.16482, 5.29055)",0.010902241334999343,0.00039822224274565056,106.29591375318148,51.264724713978524,106.46382879095569,x,9371.0,375.0,131.9857487,x,13.8,12.4,25.8,75.0,78.9,0,x,x,x,x,x,0.03082,0.361,RT,?,True,False,9746,"9706, 9770",50pm15,1.04E13 pm 3.48E12,20.7pm 2.3,done,center is 9738 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080838.80+051440.0,10181.0,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,False,False,False,10181,"10048, 10344",780pm24,3.02E14 pm 1.97E13,80.6pm 2.2,done,center is 10196 : NO GALAXIES
2dFGRS_S393Z082,1242,NGC1097,x,"('41.25333', '-30.12306')","(41.57937, -30.27489)",0.5485428754947145,0.5997269541244982,273.1866721110562,399.0239190825533,111.94522310765399,x,1029.8,212.20000000000005,20.038,x,54.2,36.7,47.4,x,68.3,NGC1097,.SBS3..,47.5,130.0,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,?,False,False,1242,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"very likely Lya here, but not fully identified yet, original name = TGS393Z082 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
2dFGRS_S393Z082,2997.0,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,False,False,False,2997,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,center is 2999 : NO GALAXIES
2dFGRS_S393Z082,4037.0,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,False,False,False,4037,"4003, 4055",36pm13,7.41E12 pm 2.81E12,18.7pm 2.7,done,center is 4029 : NO GALAXIES
PG1211+143,2116,NGC4189,x,"('183.57375', '14.05361')","(183.44696, 13.42481)",0.005278732708982855,0.0025958771629366125,180.80449454089424,162.67634124235767,314.02326242948857,x,2414.5,-298.5,28.08,x,29.8,17.3,54.5,95.0,73.9,NGC4189,.SXT6$.,43.6,85.0,SAB(rs)cd?     HII,SAB(rs)cd?     HII,0.007055,0.0804,SP,?,False,False,2116,"2067, 2165",95pm7,2.04E13 pm 1.81E12,34.6pm 1.7,Lya,"STIS only, center looks possibly <2116 to me; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG1211+143,4920.0,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,False,False,False,4920,"4870, 4970",157pm7,3.81E13 pm 2.01E12,33.8pm 2.5,Lya,"Lya labeled at 4933 _ I measure 4920, blended with Lya:5033 : NO GALAXIES"
PG1211+143,5033.0,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,False,False,False,5033,"4965, 5101",240pm7,6.18E13 pm 2.47E12,44.4pm 2.6,Lya,"Lya labeled at 5011 _ I measure 5033, blended with Lya:4920 : NO GALAXIES"
PG1211+143,6606,SDSSJ121430.17+141512.6,x,"('183.57375', '14.05361')","(183.62574, 14.25351)",8.533798639331469e-06,1.9280039614511292e-15,116.70068090480368,62.80375784935166,351.173460570899,x,6929.5,-323.5,97.59845259,x,15.8,3.8,76.1,40.0,54.2,0,x,x,x,x,x,0.022114,0.0804,SP,?,False,False,6606,"6555, 6657",89pm6,1.97E13 pm 1.54E12,29.3pm 2.9,Lya, : VIRIAL AND CUSTOM INCLUDE MISMATCH
PG1211+143,7000,SDSSJ121430.17+141512.6,x,"('183.57375', '14.05361')","(183.62574, 14.25351)",0.00010313972160021037,2.3301908122330648e-14,116.70068090480368,62.80375784935166,351.173460570899,x,6929.5,70.5,97.59845259,x,15.8,3.8,76.1,40.0,54.2,0,x,x,x,x,x,0.022114,0.0804,SP,?,True,True,7000,"6945, 7055",125pm6,2.88E13 pm 1.64E12,32.2pm 2.7,Lya,Lya labeled at 6989 _ I measure 7000ONLY 1 GALAXY
